Project Name,Unit Number,ROOMS DESCRIPTION,Size,Type ,Location
29 BLVD T1,1604,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1605,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1701,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1702,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1704,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1705,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1801,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1802,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1804,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,1805,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2102,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2104,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2105,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2201,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2202,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2204,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2205,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2301,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2302,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2304,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2305,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2401,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2402,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2404,1 B/R,799 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2405,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2501,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2502,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2504,1 B/R,800 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2505,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2601,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2602,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2604,1 B/R,800 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2605,1 B/R,838 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2701,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2702,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2704,1 B/R,800 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2001,1 B/R,836 Sq.Ft,Apartments,Downtown Dubai
29 BLVD T1,2002,1 B/R,793 Sq.Ft,Apartments,Downtown Dubai
